k,E
125,0.0001515196530362308
126,0.00014425404787515384
127,0.00014029277639292307
128,0.0001359616072957692
129,0.00013286599884807695
130,0.00012766158071700004
131,0.00012270558633215386
132,0.00012099111342553846
133,0.00011578506107053848
134,0.00011292914224361538
135,0.00010840844287661538
136,0.00010614180923046154
137,0.0001037451536521923
138,9.925613794487692e-05
139,9.633810728585385e-05
140,9.406968159106924e-05
141,9.12073444122e-05
142,8.910015026376153e-05
143,8.52947196213077e-05
144,8.364300568816153e-05
145,8.16204428017e-05
146,7.944516256826923e-05
147,7.698434217714615e-05
148,7.49587220720077e-05
149,7.310473348996924e-05
150,7.099327360008462e-05
151,6.880967834107691e-05
152,6.724719510173845e-05
153,6.568050142972306e-05
154,6.429182390076924e-05
155,6.185412217793847e-05
156,6.085681154255384e-05
157,5.958214083214615e-05
158,5.779593718667692e-05
159,5.6301705224269236e-05
160,5.534865461324616e-05
161,5.4433594719361545e-05
162,5.243473257330001e-05
163,5.169433747363077e-05
164,5.0078617631961536e-05
165,4.9509478808800005e-05
166,4.776698039036154e-05
167,4.7181908251576915e-05
168,4.5993017658053844e-05
169,4.494941334350769e-05
170,4.4389729628099995e-05
171,4.282883580493846e-05
172,4.211049198635385e-05
173,4.118588462676924e-05
174,4.046044424546153e-05
175,3.910922076737693e-05
176,3.858088333866923e-05
177,3.7645094798392304e-05
178,3.690279860315384e-05
179,3.5835183710992306e-05
180,3.4972042792492304e-05
181,3.418672290921538e-05
182,3.315253210763077e-05
183,3.2333918019669225e-05
184,3.1390483238938464e-05
185,3.058356401461538e-05
186,2.9595665906884613e-05
187,2.8679820283415392e-05
188,2.7842836795669234e-05
189,2.696432381922308e-05
190,2.5958772634638463e-05
191,2.5380009752123077e-05
192,2.4528290631976916e-05
193,2.3751794683599995e-05
194,2.315980672608462e-05
195,2.2334158673800004e-05
196,2.1762662873723074e-05
197,2.096532224132308e-05
198,2.037231934293077e-05
199,1.967715852680769e-05
200,1.9075379054692307e-05
201,1.852416246366923e-05
202,1.7984105894038465e-05
203,1.730407326383846e-05
204,1.6772602569253847e-05
205,1.6334138415300004e-05
206,1.563843105833077e-05
207,1.5250967316230769e-05
208,1.4739279896115383e-05
209,1.4306212939730771e-05
210,1.3781201005446156e-05
211,1.3312879322076921e-05
212,1.2905402296030772e-05
213,1.2505800208430771e-05
214,1.2129391642076924e-05
215,1.165343051403077e-05
216,1.1335860922161537e-05
217,1.104962268293077e-05
218,1.0621889044276922e-05
219,1.0363163143984616e-05
220,1.0021421456346923e-05
